"created_at","id_str","text","geo","user_id","user_follower_count","location","full_text","original_text","word_tokens","cleaned_text","sentiment_score","sentiment"
"Tue Nov 02 15:41:25 +0000 2021","1455560688257179659","@AGlobalCitizen @AlexanderBruyns @PPathole @elonmusk @SpaceX We would also somehow need to create some sort of arti… https://t.co/ZqSAw5f16z","NA","244729063","742",NA,"@AGlobalCitizen @AlexanderBruyns @PPathole @elonmusk @SpaceX We would also somehow need to create some sort of artificial magnetic field around the entire planet to make sure that any biomass we take there isn't immediately destroyed by cosmic radiation","@AGlobalCitizen @AlexanderBruyns @PPathole @elonmusk @SpaceX We would also somehow need to create some sort of artificial magnetic field around the entire planet to make sure that any biomass we take there isn't immediately destroyed by cosmic radiation","c(""@AGlobalCitizen"", ""@AlexanderBruyns"", ""@PPathole"", ""@elonmusk"", ""@SpaceX"", ""we"", ""would"", ""also"", ""somehow"", ""need"", ""to"", ""create"", ""some"", ""sort"", ""of"", ""artificial"", ""magnetic"", ""field"", ""around"", ""the"", ""entire"", ""planet"", ""to"", ""make"", ""sure"", ""that"", ""any"", ""biomass"", ""we"", ""take"", ""there"", ""isnt"", ""immediately"", ""destroyed"", ""by"", ""cosmic"", ""radiation"")","AGlobalCitizen AlexanderBruyns PPathole elonmusk SpaceX We would also somehow need to create some sort of artificial magnetic field around the entire planet to make sure that any biomass we take there isn't immediately destroyed by cosmic radiation","-0.55","negative"
"Tue Nov 02 15:41:25 +0000 2021","1455560688856752134","Because they printed money to bail out banks! #Bitcoin fixes this.","NA","136532968","498",NA,NA,"Because they printed money to bail out banks! #Bitcoin fixes this.","c(""because"", ""they"", ""printed"", ""money"", ""to"", ""bail"", ""out"", ""banks"", ""#Bitcoin"", ""fixes"", ""this"")","Because they printed money to bail out banks! Bitcoin fixes this.","0.6","positive"
"Tue Nov 02 15:41:27 +0000 2021","1455560693747310594","hello sir @elonmusk hope you check this project.","NA","1180838738013802497","1962",NA,NA,"hello sir @elonmusk hope you check this project.","c(""hello"", ""sir"", ""@elonmusk"", ""hope"", ""you"", ""check"", ""this"", ""project"")","hello sir elonmusk hope you check this project.","0.75","positive"
"Tue Nov 02 15:41:27 +0000 2021","1455560695022489602","@elonmusk @flcnhvy @adamhoov @Forbes You're jealous politicians like Biden can be trusted in office. Your limited d… https://t.co/lj0C9wRrFD","NA","262521203","11",NA,"@elonmusk @flcnhvy @adamhoov @Forbes You're jealous politicians like Biden can be trusted in office. Your limited decision making is murky, who programmed your shitty tree? Oh that's right, your dad was a weird dominator.","@elonmusk @flcnhvy @adamhoov @Forbes You're jealous politicians like Biden can be trusted in office. Your limited decision making is murky, who programmed your shitty tree? Oh that's right, your dad was a weird dominator.","c(""@elonmusk"", ""@flcnhvy"", ""@adamhoov"", ""@Forbes"", ""youre"", ""jealous"", ""politicians"", ""like"", ""biden"", ""can"", ""be"", ""trusted"", ""in"", ""office"", ""your"", ""limited"", ""decision"", ""making"", ""is"", ""murky"", ""who"", ""programmed"", ""your"", ""shitty"", ""tree"", ""oh"", ""thats"", ""right"", ""your"", ""dad"", ""was"", ""a"", ""weird"", ""dominator"")","elonmusk flcnhvy adamhoov Forbes You're jealous politicians like Biden can be trusted in office. Your limited decision making is murky, who programmed your shitty tree? Oh that's right, your dad was a weird dominator.","-1.45","negative"
"Tue Nov 02 15:41:27 +0000 2021","1455560697681793039","@elonmusk  is it true you said if the UN proves u and show u how 6B$ can eradicate poverty in the world u will help… https://t.co/SizFOctYBQ","NA","1257063701837946888","11",NA,"@elonmusk  is it true you said if the UN proves u and show u how 6B$ can eradicate poverty in the world u will help them ? #goat #Tesla #Spacex #GodBlessYou","@elonmusk  is it true you said if the UN proves u and show u how 6B$ can eradicate poverty in the world u will help them ? #goat #Tesla #Spacex #GodBlessYou","c(""@elonmusk"", ""is"", ""it"", ""true"", ""you"", ""said"", ""if"", ""the"", ""un"", ""proves"", ""u"", ""and"", ""show"", ""u"", ""how"", ""6b$"", ""can"", ""eradicate"", ""poverty"", ""in"", ""the"", ""world"", ""u"", ""will"", ""help"", ""them"", ""#goat"", ""#Tesla"", ""#Spacex"", ""#GodBlessYou"")","elonmusk  is it true you said if the UN proves u and show u how 6B$ can eradicate poverty in the world u will help them ? goat Tesla Spacex GodBlessYou","-0.35","negative"
"Tue Nov 02 15:41:30 +0000 2021","1455560706414235649","@Gielompik2 @Trade_At_Ease @elonmusk The bean is a metaphor bro.  His translation is correct that is the actual meaning of the poem","NA","1377484114744475648","2",NA,NA,"@Gielompik2 @Trade_At_Ease @elonmusk The bean is a metaphor bro.  His translation is correct that is the actual meaning of the poem","c(""@Gielompik2"", ""@TradeAtEase"", ""@elonmusk"", ""the"", ""bean"", ""is"", ""a"", ""metaphor"", ""bro"", ""his"", ""translation"", ""is"", ""correct"", ""that"", ""is"", ""the"", ""actual"", ""meaning"", ""of"", ""the"", ""poem"")","Gielompik2 Trade_At_Ease elonmusk The bean is a metaphor bro.  His translation is correct that is the actual meaning of the poem","1.75","positive"
"Tue Nov 02 15:41:30 +0000 2021","1455560706271580165","@Bitcoin @elonmusk ...because #Hydrocarbons are more than just gasoline.  Have fun being #BuildBackBetter cold, hun… https://t.co/uKxPORcV9R","NA","1310968673864216576","95",NA,"@Bitcoin @elonmusk ...because #Hydrocarbons are more than just gasoline.  Have fun being #BuildBackBetter cold, hungry and poor https://t.co/22MEptfGhn","@Bitcoin @elonmusk ...because #Hydrocarbons are more than just gasoline.  Have fun being #BuildBackBetter cold, hungry and poor https://t.co/22MEptfGhn","c(""@Bitcoin"", ""@elonmusk"", ""because"", ""#Hydrocarbons"", ""are"", ""more"", ""than"", ""just"", ""gasoline"", ""have"", ""fun"", ""being"", ""#BuildBackBetter"", ""cold"", ""hungry"", ""and"", ""poor"", ""https://t.co/22MEptfGhn"")","Bitcoin elonmusk ...because Hydrocarbons are more than just gasoline.  Have fun being BuildBackBetter cold, hungry and poor ","-0.5","negative"
"Tue Nov 02 15:41:30 +0000 2021","1455560706846339073","Wishing all a very happy dhanteras 
.
visit: https://t.co/2LVcmd5eul
.
#Dhanteras #HappyDhanteras #quote… https://t.co/Jjsycl43FJ","NA","911463775810850816","59",NA,"Wishing all a very happy dhanteras 
.
visit: https://t.co/2LVcmd5eul
.
#Dhanteras #HappyDhanteras #quote #EnemyDeepavali #ElonMusk #tuesdaymotivations #tuesdayvibe #Yargi #PlayToEarn #SHIB #festival #catecoin #cryptocurrency #COP26 https://t.co/p66c2FfhT9","Wishing all a very happy dhanteras 
.
visit: https://t.co/2LVcmd5eul
.
#Dhanteras #HappyDhanteras #quote #EnemyDeepavali #ElonMusk #tuesdaymotivations #tuesdayvibe #Yargi #PlayToEarn #SHIB #festival #catecoin #cryptocurrency #COP26 https://t.co/p66c2FfhT9","c(""wishing"", ""all"", ""a"", ""very"", ""happy"", ""dhanteras"", ""visit"", ""https://t.co/2LVcmd5eul"", ""#Dhanteras"", ""#HappyDhanteras"", ""#quote"", ""#EnemyDeepavali"", ""#ElonMusk"", ""#tuesdaymotivations"", ""#tuesdayvibe"", ""#Yargi"", ""#PlayToEarn"", ""#SHIB"", ""#festival"", ""#catecoin"", ""#cryptocurrency"", ""#COP26"", ""https://t.co/p66c2FfhT9"")","Wishing all a very happy dhanteras 
.
visit: .
Dhanteras HappyDhanteras quote EnemyDeepavali ElonMusk tuesdaymotivations tuesdayvibe Yargi PlayToEarn SHIB festival catecoin cryptocurrency COP26 ","2.45","positive"
"Tue Nov 02 15:41:32 +0000 2021","1455560714689683464","worlds are colliding","NA","1081960717513830400","1470",NA,NA,"worlds are colliding","c(""worlds"", ""are"", ""colliding"")","worlds are colliding","-0.25","negative"
"Tue Nov 02 15:41:32 +0000 2021","1455560718246350850","@domerfire @mcspacface @garyblack00 exactly this. tesla is a tech company, not a car company","NA","109454535","86",NA,NA,"@domerfire @mcspacface @garyblack00 exactly this. tesla is a tech company, not a car company","c(""@domerfire"", ""@mcspacface"", ""@garyblack00"", ""exactly"", ""this"", ""tesla"", ""is"", ""a"", ""tech"", ""company"", ""not"", ""a"", ""car"", ""company"")","domerfire mcspacface garyblack00 exactly this. tesla is a tech company, not a car company","0","neutral"
"Tue Nov 02 15:41:33 +0000 2021","1455560719110311940","Hope success this project for @elonmusk","NA","1415274882951049221","63",NA,NA,"Hope success this project for @elonmusk","c(""hope"", ""success"", ""this"", ""project"", ""for"", ""@elonmusk"")","Hope success this project for elonmusk","1.25","positive"
"Tue Nov 02 15:41:33 +0000 2021","1455560721324969986","@elonmusk I liké this my father first billionare of World 

Help me with Money <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D>

I'm orphan , please my my fir… https://t.co/uUGjb2JkgF","NA","1350307708428300289","39",NA,"@elonmusk I liké this my father first billionare of World 

Help me with Money <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D>

I'm orphan , please my my first trillionaire of World since to creation <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F932><U+0001F3FC><U+0001F932><U+0001F3FC><U+0001F932><U+0001F3FC><U+0001F932><U+0001F3FC> 

My number : 0829304037","@elonmusk I liké this my father first billionare of World 

Help me with Money <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D>

I'm orphan , please my my first trillionaire of World since to creation <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F932><U+0001F3FC><U+0001F932><U+0001F3FC><U+0001F932><U+0001F3FC><U+0001F932><U+0001F3FC> 

My number : 0829304037","c(""@elonmusk"", ""i"", ""liké"", ""this"", ""my"", ""father"", ""first"", ""billionare"", ""of"", ""world"", ""help"", ""me"", ""with"", ""money"", ""<U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D>"", ""im"", ""orphan"", ""please"", ""my"", ""my"", ""first"", ""trillionaire"", ""of"", ""world"", ""since"", ""to"", ""creation"", ""<U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F932><U+0001F3FC><U+0001F932><U+0001F3FC><U+0001F932><U+0001F3FC><U+0001F932><U+0001F3FC>"", ""my"", ""number"", ""0829304037"")","elonmusk I liké this my father first billionare of World 

Help me with Money <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D>

I'm orphan , please my my first trillionaire of World since to creation <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F932><U+0001F3FC><U+0001F932><U+0001F3FC><U+0001F932><U+0001F3FC><U+0001F932><U+0001F3FC> 

My number : 0829304037","1.1","positive"
"Tue Nov 02 15:41:33 +0000 2021","1455560721958424580","@elonmusk Because i care","NA","1401102038314983425","9",NA,NA,"@elonmusk Because i care","c(""@elonmusk"", ""because"", ""i"", ""care"")","elonmusk Because i care","1","positive"
"Tue Nov 02 15:41:34 +0000 2021","1455560723862487042","@GloryDogeCoin I want the moon to ride #glorydogecoin. but they even sent me to pluto, I'm so happy <U+0001F60A>

(\_/)
( •^•)… https://t.co/ITkPIywP2B","NA","1446703971817562114","0",NA,"@GloryDogeCoin I want the moon to ride #glorydogecoin. but they even sent me to pluto, I'm so happy <U+0001F60A>

(\_/)
( •^•) PLUTO
/ &gt;<U+0001F680>

(\_/)
( •_•) Moon
/ &gt;<U+0001F680>

I can see @elonmusk from a height","@GloryDogeCoin I want the moon to ride #glorydogecoin. but they even sent me to pluto, I'm so happy <U+0001F60A>

(\_/)
( •^•) PLUTO
/ &gt;<U+0001F680>

(\_/)
( •_•) Moon
/ &gt;<U+0001F680>

I can see @elonmusk from a height","c(""@GloryDogeCoin"", ""i"", ""want"", ""the"", ""moon"", ""to"", ""ride"", ""#glorydogecoin"", ""but"", ""they"", ""even"", ""sent"", ""me"", ""to"", ""pluto"", ""im"", ""so"", ""happy"", ""<U+0001F60A>"", ""^"", ""pluto"", ""gt<U+0001F680>"", ""moon"", ""gt<U+0001F680>"", ""i"", ""can"", ""see"", ""@elonmusk"", ""from"", ""a"", ""height"")","GloryDogeCoin I want the moon to ride glorydogecoin. but they even sent me to pluto, I'm so happy <U+0001F60A>

(\_/)
( •^•) PLUTO
/ &gt;<U+0001F680>

(\_/)
( •_•) Moon
/ &gt;<U+0001F680>

I can see elonmusk from a height","0.75","positive"
"Tue Nov 02 15:41:34 +0000 2021","1455560724944723968","I ride it better than a Tesla","NA","1304610728511406080","3381",NA,NA,"I ride it better than a Tesla","c(""i"", ""ride"", ""it"", ""better"", ""than"", ""a"", ""tesla"")","I ride it better than a Tesla","0.8","positive"
"Tue Nov 02 15:41:34 +0000 2021","1455560725661986826","@Cwizzie1 @Tesla @hnginternship @figmadesign @AdobeAE @druids01 @ozenua_uiux @Thecreativemena @adefaze Omo some peo… https://t.co/ss7fwQIW14","NA","881515811453759488","1693",NA,"@Cwizzie1 @Tesla @hnginternship @figmadesign @AdobeAE @druids01 @ozenua_uiux @Thecreativemena @adefaze Omo some people are naturally gifted on this design field<U+0001F629>","@Cwizzie1 @Tesla @hnginternship @figmadesign @AdobeAE @druids01 @ozenua_uiux @Thecreativemena @adefaze Omo some people are naturally gifted on this design field<U+0001F629>","c(""@Cwizzie1"", ""@Tesla"", ""@hnginternship"", ""@figmadesign"", ""@AdobeAE"", ""@druids01"", ""@ozenuauiux"", ""@Thecreativemena"", ""@adefaze"", ""omo"", ""some"", ""people"", ""are"", ""naturally"", ""gifted"", ""on"", ""this"", ""design"", ""field<U+0001F629>"")","Cwizzie1 Tesla hnginternship figmadesign AdobeAE druids01 ozenua_uiux Thecreativemena adefaze Omo some people are naturally gifted on this design field<U+0001F629>","0.5","positive"
"Tue Nov 02 15:41:35 +0000 2021","1455560727708594183","@elonmusk What's meaning?","NA","1454459703879028738","0",NA,NA,"@elonmusk What's meaning?","c(""@elonmusk"", ""whats"", ""meaning"")","elonmusk What's meaning?","0","neutral"
"Tue Nov 02 15:41:35 +0000 2021","1455560728845242375","@Helloimmorgan @elonmusk I like it because it is the largest of a word that means small.","NA","131385625","6",NA,NA,"@Helloimmorgan @elonmusk I like it because it is the largest of a word that means small.","c(""@Helloimmorgan"", ""@elonmusk"", ""i"", ""like"", ""it"", ""because"", ""it"", ""is"", ""the"", ""largest"", ""of"", ""a"", ""word"", ""that"", ""means"", ""small"")","Helloimmorgan elonmusk I like it because it is the largest of a word that means small.","0.5","positive"
